title,originalTitle,imdbID,runtime,originalLanguage,originCountry,plot,releaseDate,homepage,budget,revenue,tmdbRating,tmdbVotes,popularity,director,actors,awards,imdbVotes,imdbRating,metacriticRating,rottenTomatoesRating,mpaFilmRating,genre
Mufasa: The Lion King,Mufasa: The Lion King,tt13186482,118,en,['US'],"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2024-12-18,https://movies.disney.com/mufasa-the-lion-king,200000000.0,717197856.0,7.449,1799,238.3487,Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone",15 nominations total,44872.0,6.6,5.6,5.7,PG,"['Animation', 'Adventure', 'Drama']"
Moana 2,Moana 2,tt13622970,99,en,['US'],"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2024-11-21,https://movies.disney.com/moana-2,150000000.0,1056396565.0,7.1,2097,220.0556,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Auli'i Cravalho, Dwayne Johnson, Hualalai Chung",2 wins & 25 nominations total,88419.0,6.7,5.8,6.1,PG,"['Animation', 'Adventure', 'Comedy']"
Sonic the Hedgehog 3,Sonic the Hedgehog 3,tt18259086,110,en,['US'],"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",2024-12-19,https://www.sonicthehedgehogmovie.com,122000000.0,486018457.0,7.8,2298,150.0364,Jeff Fowler,"Jim Carrey, Ben Schwartz, Keanu Reeves",1 nomination total,52320.0,6.9,5.6,8.5,PG,"['Action', 'Adventure', 'Comedy']"
Old Guy,Old Guy,tt26442053,93,en,['US'],"Stuck at a dead end but vying for the love of spunky club manager Anata, aging contract killer Danny Dolinski is thrilled when The Company pulls him back in the field, but only to train Gen Z newcomer Wihlborg, a prodigy assassin with an attitude.",2024-12-13,https://theavenue.film/movies/old-guy,,,5.516,61,128.2014,Simon West,"Christoph Waltz, Lucy Liu, Cooper Hoffman",,1748.0,5.1,3.3,2.9,R,"['Action', 'Comedy']"
Hellhound,Hellhound,tt22489042,103,en,['TH'],"Ready to leave his profession behind, Loreno, an assassin, lends help to an old friend, Cetan, and taking one last job in Thailand seeking out a local kingpin. A lapse in judgment means Loreno crosses paths with old colleague Paul.",2024-06-20,https://hellhoundthemovie.com/,1100000.0,,6.468,31,117.1079,Joshua Dixon,"Sahajak Boonthanakit, Ross James Cain, Tanapol Chuksrida",,446.0,4.3,,,R,"['Action', 'Crime', 'Thriller']"
"I, the Executioner",베테랑 2,tt30287778,118,ko,['KR'],"The veteran detective Seo Do-cheol and his team at Major Crimes, relentless in their pursuit of criminals, join forces with rookie cop Park Sun-woo to track down a serial killer who has plunged the nation into turmoil.",2024-09-13,,,53453611.0,7.0,45,92.6976,Ryoo Seung-wan,"Ahn Bo-hyun, Oh Dae-hwan, Oh Dal-su",4 nominations total,1183.0,6.4,,10.0,,"['Action', 'Adventure', 'Comedy']"
Kraven the Hunter,Kraven the Hunter,tt8790086,127,en,['US'],"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",2024-12-11,https://www.kravenmovie.com,120000000.0,59184643.0,6.625,1499,96.1271,J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger",5 nominations total,44505.0,5.4,3.5,1.5,R,"['Action', 'Thriller']"
Amaran,அமரன்,tt27118357,169,ta,['IN'],"A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.",2024-10-31,,21000000.0,,7.4,197,97.6612,Rajkumar Periasamy,"Sivakarthikeyan, Sai Pallavi, Bhuvan Arora",,17389.0,8.2,,,,"['Action', 'Biography', 'Drama']"
Venom: The Last Dance,Venom: The Last Dance,tt16366836,109,en,['US'],"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2024-10-22,https://venom.movie,120000000.0,478103649.0,6.8,3108,84.6773,Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple",5 nominations total,101954.0,6.0,4.1,4.0,PG-13,"['Action', 'Adventure', 'Sci-Fi']"
Flow,Straume,tt4772188,85,lv,['LV'],"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",2024-08-29,https://flowthemovie.com/,3700000.0,17660107.0,8.3,1692,82.3994,Gints Zilbalodis,,Won 1 Oscar. 54 wins & 70 nominations total,47334.0,7.9,8.7,9.7,PG,"['Animation', 'Adventure', 'Family']"
Memoir of a Snail,Memoir of a Snail,tt23770030,94,en,['AU'],"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",2024-10-17,http://adamelliot.com.au/,4350000.0,2251196.0,7.957,335,77.6109,Adam Elliot,"Jacki Weaver, Sarah Snook, Charlotte Belsey",8 wins & 54 nominations total,7172.0,7.8,8.3,9.5,R,"['Animation', 'Drama']"
Solo Leveling -ReAwakening-,俺だけレベルアップな件 -ReAwakening-,tt33428606,116,ja,['JP'],"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",2024-11-26,https://www.sololevelingreawakening.com,,6331827.0,6.9,176,79.2416,Shunsuke Nakashige,"Taito Ban, Geoff Bisente, Drew Breedlove",,5541.0,8.6,,,R,"['Animation', 'Action', 'Adventure']"
Panda Plan,熊猫计划,tt28630624,99,zh,['CN'],"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",2024-10-01,,,42333207.0,7.0,166,72.704,Luan Zhang,"Jackie Chan, Xiang Wei, Ce Shi",,1018.0,5.1,,3.8,,"['Action', 'Comedy', 'Family']"
Deadpool & Wolverine,Deadpool & Wolverine,tt6263850,128,en,['US'],"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",2024-07-24,https://www.marvel.com/movies/deadpool-and-wolverine,200000000.0,1338073645.0,7.6,6968,66.9084,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin",18 wins & 53 nominations total,480069.0,7.6,5.6,7.8,R,"['Action', 'Adventure', 'Comedy']"
Gladiator II,Gladiator II,tt9218128,148,en,['US'],"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",2024-11-13,https://www.gladiator.movie,310000000.0,458718000.0,6.8,3106,71.5954,Ridley Scott,"Paul Mescal, Denzel Washington, Pedro Pascal",Nominated for 3 BAFTA 3 wins & 86 nominations total,172374.0,6.6,6.4,7.1,R,"['Action', 'Adventure', 'Drama']"
Despicable Me 4,Despicable Me 4,tt7510222,94,en,['US'],"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",2024-06-20,https://www.despicable.me,100000000.0,969280910.0,7.054,2659,63.4427,"Chris Renaud, Patrick Delage","Steve Carell, Kristen Wiig, Pierre Coffin",2 wins & 3 nominations total,60760.0,6.2,5.2,5.6,PG,"['Animation', 'Adventure', 'Comedy']"
Anora,Anora,tt28607951,139,en,['US'],"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",2024-10-14,https://anora.film,6000000.0,51868503.0,7.1,1922,57.4977,Sean Baker,"Mikey Madison, Paul Weissman, Yura Borisov",Won 5 Oscars. 144 wins & 267 nominations total,122308.0,7.8,9.1,9.3,R,"['Comedy', 'Drama', 'Romance']"
The Wild Robot,The Wild Robot,tt29623480,102,en,['US'],"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024-09-12,https://www.thewildrobotmovie.com,78000000.0,331982078.0,8.3,4616,58.4281,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor",Nominated for 3 Oscars. 85 wins & 104 nominations total,151636.0,8.2,8.5,9.6,PG,"['Animation', 'Sci-Fi']"
The Substance,The Substance,tt17526714,141,en,"['GB', 'US']","A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",2024-09-07,https://mubi.com/en/thesubstance,17500000.0,76506196.0,7.135,4319,58.0902,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid",Won 1 Oscar. 133 wins & 278 nominations total,267613.0,7.3,7.8,8.9,R,"['Drama', 'Horror', 'Sci-Fi']"
Ask Me What You Want,Pídeme lo que quieras,tt31723358,0,es,['ES'],"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",2024-11-29,,,,6.0,102,124.8901,Lucía Alemany,"Gabriela Andrada, Mario Ermito, Celia Freijeiro",,278.0,,,,,"['Drama', 'Romance', 'Thriller']"
Inside Out 2,Inside Out 2,tt22022452,97,en,['US'],"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",2024-06-11,https://movies.disney.com/inside-out-2,200000000.0,1698863816.0,7.557,5698,53.9804,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman",Nominated for 1 Oscar. 4 wins & 105 nominations total,211354.0,7.5,7.3,9.1,PG,"['Animation', 'Adventure', 'Comedy']"
Elevation,Elevation,tt23558280,91,en,['US'],A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,2024-11-07,https://www.elevationmovie.com,18000000.0,3300000.0,6.485,647,49.9525,George Nolfi,"Anthony Mackie, Morena Baccarin, Maddie Hasson",,18943.0,5.6,5.0,5.6,R,"['Action', 'Sci-Fi', 'Thriller']"
Escape,탈주,tt31898445,96,ko,['KR'],"After completing his required decade of military service and being honored as a hero, a North Korean sergeant makes a sudden shocking attempt to defect to the South, risking life and limb for the chance to finally determine his own destiny.",2024-07-03,,,13368094.0,7.3,47,49.631,Lee Jong-pil,"Lee Je-hoon, Koo Kyo-hwan, Hong Xa-bin",3 nominations total,1616.0,6.4,,7.1,,"['Action', 'Adventure', 'Thriller']"
Red One,Red One,tt14948432,124,en,['US'],"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",2024-10-31,https://www.amazon.com/salp/redonemovie,250000000.0,185700759.0,7.06,2416,44.9711,Jake Kasdan,"Dwayne Johnson, Chris Evans, Lucy Liu",7 nominations total,137223.0,6.3,3.4,3.0,PG-13,"['Action', 'Adventure', 'Comedy']"
Your Fault,Culpa tuya,tt28510079,118,es,"['US', 'ES']",The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,2024-12-26,https://www.amazon.com/dp/B0DJ1L7ZN3,,,7.125,1184,42.1551,Domingo González,"Nicole Wallace, Gabriel Guevara, Marta Hazas",,2511.0,5.3,,2.0,,"['Drama', 'Romance']"
Wicked,Wicked,tt1262426,162,en,['US'],"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",2024-11-20,https://www.wickedmovie.com,150000000.0,728145850.0,6.9,1991,39.9075,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum",Won 2 Oscars. 112 wins & 300 nominations total,140661.0,7.5,7.3,8.8,PG,"['Fantasy', 'Musical', 'Romance']"
Heretic,Heretic,tt28015403,111,en,['US'],"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",2024-10-31,https://a24films.com/films/heretic,10000000.0,51913394.0,7.077,1449,41.2591,"Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East",Nominated for 1 BAFTA Award29 nominations total,115341.0,7.0,7.1,9.1,R,"['Horror', 'Thriller']"
Devara : Part 1,దేవర: Part 1,tt11821912,175,te,['IN'],"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",2024-09-26,,24000000.0,54000000.0,6.972,181,40.5097,Koratala Siva,"N.T. Rama Rao Jr., Janhvi Kapoor, Saif Ali Khan",,15087.0,6.1,,3.3,,"['Action', 'Drama', 'Thriller']"
The Curse of the Necklace,The Curse of the Necklace,tt32276246,95,en,['US'],"After separating due to his unpredictable alcohol infused temper, Frank try to win his wife Laura back by giving her a beautiful antique necklace he finds in an old 1938 evidence bag at the station. Unfortunately, the necklace is a conduit for the tormented soul of an evil boy from long ago, and Laura and her daughters find themselves in terrible danger from a little boy who no longer exists.",2024-09-27,,,,5.672,32,41.9034,Juan Pablo Arias Munoz,"Violet McGraw, Madeleine McGraw, Henry Thomas",,795.0,4.4,,,R,['Horror']
"Miraculous World, London: At the Edge of Time","Miraculous World : Londres, la course contre le temps",tt13701202,50,fr,['FR'],"To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",2024-11-14,,,,7.2,240,37.9835,Thomas Astruc,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein",,378.0,8.0,,,TV-Y7,"['Animation', 'Action', 'Adventure']"
Nosferatu,Nosferatu,tt5040012,133,en,['US'],"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",2024-12-25,https://www.focusfeatures.com/nosferatu,50000000.0,177225075.0,6.7,2434,38.4194,Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård",Nominated for 4 Oscars. 57 wins & 177 nominations total,169753.0,7.3,7.8,8.4,R,"['Fantasy', 'Horror', 'Mystery']"
Absolution,Absolution,tt8337290,112,en,['US'],"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",2024-10-31,https://flixerhd.com/,30000000.0,3854594.0,5.918,370,39.2001,Hans Petter Moland,"Liam Neeson, Daniel Diemer, Javier Molina",,7408.0,5.2,5.1,5.5,R,"['Action', 'Crime', 'Drama']"
The Lord of the Rings: The War of the Rohirrim,The Lord of the Rings: The War of the Rohirrim,tt14824600,134,en,['US'],"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",2024-12-05,https://www.lotrthewaroftherohirrim.com/,30000000.0,19958572.0,6.632,517,36.8102,Kenji Kamiyama,"Brian Cox, Gaia Wise, Miranda Otto",,14353.0,6.5,5.4,4.8,PG-13,"['Animation', 'Action', 'Adventure']"
Bad Boys: Ride or Die,Bad Boys: Ride or Die,tt4919268,115,en,['US'],"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",2024-06-05,https://www.badboys.movie,100000000.0,404547819.0,7.4,2814,36.3891,"Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens",4 nominations total,95215.0,6.5,5.4,6.5,R,"['Action', 'Adventure', 'Comedy']"
Apocalypse Z: The Beginning of the End,Apocalipsis Z: el principio del fin,tt27599851,119,es,['ES'],"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",2024-10-04,https://nostromopictures.com/en/movies/coming-soon/apocalipsis-z-el-principio-del-fin,,500000.0,6.7,1013,36.8717,Carles Torrens,"Iria del Río, José María Yazpik, Berta Vázquez",,16867.0,6.1,,,,"['Action', 'Horror', 'Sci-Fi']"
Paddington in Peru,Paddington in Peru,tt5822536,106,en,['GB'],"Paddington travels to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown Family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey through the Amazon rainforest and up to the mountain peaks of Peru.",2024-11-08,https://www.paddingtoninperu.co.uk,90000000.0,190614864.0,6.8,291,33.9074,Dougal Wilson,"Hugh Bonneville, Emily Mortimer, Ben Whishaw",2 wins & 5 nominations total,14868.0,6.7,6.5,9.3,PG,"['Adventure', 'Comedy', 'Family']"
Terrifier 3,Terrifier 3,tt27911000,125,en,['US'],"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",2024-10-09,https://terrifier3.com/,2000000.0,90322103.0,6.8,1525,36.0753,Damien Leone,"Lauren LaVera, David Howard Thornton, Antonella Rose",1 nomination total,45182.0,6.3,6.2,7.8,Unrated,['Horror']
OVERLORD: The Sacred Kingdom,劇場版「オーバーロード」聖王国編,tt14603848,134,ja,['JP'],"After twelve years of playing his favorite MMORPG game, Momonga logs in for the last time only to find himself transported into its world playing it indefinitely. Throughout his adventures, his avatar ascends to the title of Sorcerer King Ains Ooal Gown. Once prosperous but now on the brink of ruin, The Sacred Kingdom enjoyed years of peace after construction of an enormous wall protecting them from neighboring invasions. But, one day this comes to an end when the Demon Emperor Jaldabaoth arrives with an army of villainous demi-humans. Fearing invasion of their own lands, the neighboring territory of the Slane Theocracy is forced to beg their enemies at the Sorcerer Kingdom for help. Heeding the call, Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor.",2024-09-20,,,7614966.0,7.3,44,33.0469,Naoyuki Itô,"Satoshi Hino, Yumi Hara, Masayuki Katô",,608.0,7.1,,,R,"['Animation', 'Action', 'Adventure']"
Attack on Titan: THE LAST ATTACK,劇場版「進撃の巨人」完結編 THE LAST ATTACK,tt33175825,145,ja,['JP'],"A colossal-sized omnibus film bringing together the last two episodes of Attack on Titan in the franchise's first-ever theatrical experience. After venturing beyond the walls and separated from his comrades, Eren finds himself inspired by this new truth and plots the ""Rumbling,"" a terrifying plan to eradicate every living thing in the world. With the fate of the world hanging in the balance, a motley crew of Eren's former comrades and enemies scramble to halt his deadly mission. The only question is, can they stop him?",2024-11-08,,,17111415.0,8.5,36,35.148,Yûichirô Hayashi,"Ahnaf, Natsuki Hanae, Yoshimasa Hosoya",,14022.0,9.3,,,,"['Animation', 'Action', 'Adventure']"
Smile 2,Smile 2,tt29268110,127,en,['US'],"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",2024-10-16,https://www.smile.movie,28000000.0,138083280.0,6.598,1395,36.9993,Parker Finn,"Naomi Scott, Rosemarie DeWitt, Lukas Gage",2 wins & 13 nominations total,93967.0,6.7,6.7,8.6,R,"['Horror', 'Mystery', 'Thriller']"
Alien: Romulus,Alien: Romulus,tt18412256,119,en,['US'],"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",2024-08-13,https://www.20thcenturystudios.com/movies/alien-romulus,80000000.0,350865342.0,7.214,3484,35.4648,Fede Alvarez,"Cailee Spaeny, David Jonsson, Archie Renaux",Nominated for 1 Oscar. 13 wins & 44 nominations total,236207.0,7.1,6.4,8.0,R,"['Horror', 'Sci-Fi', 'Thriller']"
Werewolves,Werewolves,tt15041836,94,en,['US'],"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.",2024-12-04,,,1052998.0,6.2,341,32.2582,Steven C. Miller,"Frank Grillo, Katrina Law, Ilfenesh Hadera",,4917.0,4.4,4.6,4.8,R,"['Action', 'Horror', 'Thriller']"
Transformers One,Transformers One,tt8864596,104,en,['US'],"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",2024-09-11,https://www.transformersmovie.com,75000000.0,128888103.0,8.097,1167,31.6811,Josh Cooley,"Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson",20 nominations total,46356.0,7.6,6.4,8.9,PG,"['Animation', 'Action', 'Adventure']"
Dead Talents Society,鬼才之道,tt17079606,110,zh,['TW'],"A sheepish rookie ghost must scare the living or risk vanishing forever. With help from a once-lauded mentor, she works to master the art of haunting.",2024-08-07,https://www.netflix.com/title/81987312,,,7.0,26,41.7573,John Hsu,"Chen Bolin, Sandrine Pinna, Gingle Wang",11 wins & 9 nominations total,763.0,7.4,,9.4,,"['Comedy', 'Horror', 'Thriller']"
Conclave,Conclave,tt20215234,120,en,['US'],"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",2024-10-25,https://www.focusfeatures.com/conclave,20000000.0,104779967.0,7.2,1737,29.8987,Edward Berger,"Ralph Fiennes, Stanley Tucci, John Lithgow",Won 1 Oscar. 86 wins & 315 nominations total,130544.0,7.4,7.9,9.3,PG,"['Drama', 'Thriller']"
Babygirl,Babygirl,tt30057084,115,en,['US'],A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,2024-12-25,https://a24films.com/films/babygirl,20000000.0,60934894.0,5.831,598,30.2989,Halina Reijn,"Nicole Kidman, Harris Dickinson, Antonio Banderas",8 wins & 25 nominations total,47464.0,6.0,7.9,7.6,R,"['Drama', 'Romance', 'Thriller']"
Winner,Winner,tt11433906,103,en,"['CA', 'US']","Winner is a brilliant young misfit from Texas who finds her morals challenged while serving in the U.S. Air Force and working as an NSA contractor. A fresh take on the traditional whistleblower thriller, the coming-of-age story follows an idealistic young woman persecuted for standing by her principles.",2024-09-13,,,,6.8,45,33.5205,Susanna Fogel,"Emilia Jones, Connie Britton, Zach Galifianakis",1 win & 1 nomination,1136.0,6.4,,5.4,PG-13,"['Biography', 'Comedy']"
Death Whisperer 2,ธี่หยด 2,tt31513578,112,th,['TH'],"Three years after his sister's death, Yak relentlessly searches for the dark spirit that killed her in hopes of seeking revenge.",2024-10-10,,,4210676.0,7.0,84,32.0536,Taweewat Wantha,"Nadech Kugimiya, Kajbhunditt Jaidee, Peerakrit Phacharaboonyakiat",,482.0,7.1,,,,"['Action', 'Horror', 'Thriller']"
Night Call,La Nuit se traîne,tt16826430,97,fr,"['BE', 'FR']","Mady, a student, works as a locksmith by night. He helps Claire get into her apartment and soon realizes that she lied to him about her identity and robbed something that belonged to a dangerous man, Yannick. Mady gets embroiled in a manhunt and will have one night to prove his innocence.",2024-08-28,https://www.gaumont.com/en/movie/night-call,4870000.0,,6.756,82,30.7824,Michiel Blanchart,"Jonathan Feltre, Natacha Krief, Jonas Bloquet",2 nominations,487.0,7.2,,,,"['Action', 'Thriller']"
Dirty Angels,Dirty Angels,tt23872640,104,en,['US'],"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",2024-12-11,,35954590.0,,6.18,220,31.5932,Martin Campbell,"Eva Green, Maria Bakalova, Ruby Rose",,1478.0,4.1,4.2,3.0,R,"['Action', 'Drama', 'Thriller']"
Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire,tt14539740,115,en,['US'],"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",2024-03-27,https://www.godzillaxkongmovie.com,150000000.0,571750016.0,7.099,4119,27.3889,Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens",2 wins & 5 nominations total,118442.0,6.1,4.7,5.4,PG-13,"['Action', 'Adventure', 'Fantasy']"
The Brutalist,The Brutalist,tt8999762,215,en,['US'],"Escaping post-war Europe, visionary architect László Toth arrives in America to rebuild his life. On his own in a strange new country, a wealthy industrialist recognizes his talent. But power and legacy come at a heavy cost...",2024-12-20,https://a24films.com/films/the-brutalist,9000000.0,45151320.0,7.1,891,26.4336,Brady Corbet,"Adrien Brody, Felicity Jones, Guy Pearce",Won 3 Oscars. 136 wins & 340 nominations total,65135.0,7.5,9.0,9.3,R,['Drama']
Bird,Bird,tt28277817,119,en,['GB'],"12-year-old Bailey lives with her single dad Bug and brother Hunter in a squat in North Kent. Bug doesn’t have much time for his kids, and Bailey, who is approaching puberty, seeks attention and adventure elsewhere.",2024-11-08,https://mubi.com/en/films/bird,,,7.2,98,24.0886,Andrea Arnold,"Nykiya Adams, Franz Rogowski, Barry Keoghan",Nominated for 1 BAFTA Award6 wins & 22 nominations total,6521.0,7.0,7.4,8.6,R,['Drama']
Dune: Part Two,Dune: Part Two,tt15239678,167,en,['US'],"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",2024-02-27,https://www.dunemovie.com,190000000.0,714444358.0,8.148,6478,25.6541,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson",Won 2 Oscars. 106 wins & 367 nominations total,610371.0,8.5,7.9,9.2,PG-13,"['Action', 'Adventure', 'Drama']"
Kung Fu Panda 4,Kung Fu Panda 4,tt21692408,94,en,['US'],"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",2024-03-02,https://www.dreamworks.com/movies/kung-fu-panda-4,80000000.0,548040835.0,7.1,3015,28.6923,"Mike Mitchell, Stephanie Stine","Jack Black, Awkwafina, Viola Davis",9 nominations total,63858.0,6.3,5.4,7.1,PG,"['Animation', 'Action', 'Adventure']"
