title,originalTitle,imdbID,runtime,originalLanguage,originCountry,plot,releaseDate,homepage,budget,revenue,tmdbRating,tmdbVotes,popularity,director,actors,awards,imdbVotes,imdbRating,metacriticRating,rottenTomatoesRating,mpaFilmRating,genre
The Tearsmith,Fabbricante di lacrime,tt29114029,106,it,['IT'],"Adopted together after a tough childhood in an orphanage, Nica and Rigel realize that unexpected but irresistible feelings pull them together.",2024-04-03,https://www.netflix.com/title/81711218,7000000.0,,6.514,851,8.9029,Alessandro Genovesi,"Simone Baldasseroni, Caterina Ferioli, Sabrina Paravicini",,11848.0,5.2,,1.7,TV-MA,"['Drama', 'Fantasy', 'Romance']"
Wolfs,Wolfs,tt14257582,108,en,['US'],"Hired to cover up a high-profile crime, a fixer soon finds his night spiralling out of control when he's forced to work with an unexpected counterpart.",2024-09-20,https://tv.apple.com/movie/umc.cmc.c3xhu25rw4jxxxzq4oio6snu,80000000.0,,6.5,1040,9.3919,Jon Watts,"George Clooney, Brad Pitt, Amy Ryan",1 win & 1 nomination total,72261.0,6.5,6.0,6.7,R,"['Crime', 'Thriller']"
The Convert,The Convert,tt20113412,119,en,"['AU', 'NZ']","Munro, a soldier turned lay preacher, comes to New Zealand to minister to the first British colonists, but he is converted by the powerful chief Maianui to serve a different purpose.",2024-03-14,,,692018.0,6.111,126,10.9895,Lee Tamahori,"Guy Pearce, Tioreore Ngatai-Melbourne, Antonio Te Maioha",1 win & 5 nominations total,4588.0,6.4,6.6,8.2,,"['Action', 'Drama']"
The Exorcism,The Exorcism,tt11240348,96,en,['US'],"A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play.",2024-05-30,https://www.theexorcismmovie.com/,22000000.0,12610418.0,5.1,316,9.9939,Joshua John Miller,"Russell Crowe, Ryan Simpkins, Sam Worthington",,11060.0,4.2,4.6,2.7,R,"['Horror', 'Thriller']"
Afraid,Afraid,tt24577462,84,en,['US'],Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,2024-08-28,https://afraid.movie,12000000.0,12977758.0,6.0,369,11.0217,Chris Weitz,"John Cho, Katherine Waterston, Keith Carradine",,10512.0,5.2,2.8,2.2,PG-13,"['Horror', 'Mystery', 'Sci-Fi']"
Tarot,Tarot,tt14088510,92,en,['US'],"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",2024-05-01,https://www.tarotmovie.com,8000000.0,49256239.0,6.5,1141,10.7001,"Spenser Cohen, Anna Halberg","Harriet Slater, Adain Bradley, Jacob Batalon",,29310.0,4.8,3.6,1.7,PG-13,['Horror']
The Watchers,The Watchers,tt26736843,102,en,['US'],"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",2024-06-06,https://www.areyouwatching.com,30000000.0,51147812.0,6.43,1226,10.2823,Ishana Shyamalan,"Dakota Fanning, Georgina Campbell, Olwen Fouéré",,51143.0,5.7,4.6,3.3,PG-13,"['Fantasy', 'Horror', 'Mystery']"
Queer,Queer,tt24176060,136,en,['US'],"1950. William Lee, an American expat in Mexico City, spends his days almost entirely alone, except for a few contacts with other members of the small American community. His encounter with Eugene Allerton, an expat former soldier, new to the city, shows him, for the first time, that it might be finally possible to establish an intimate connection with somebody.",2024-11-27,https://a24films.com/films/queer,53400000.0,3865730.0,6.7,248,11.2649,Luca Guadagnino,"Daniel Craig, Daan de Wit, Jason Schwartzman",4 wins & 58 nominations total,17813.0,6.5,7.2,7.7,R,"['Biography', 'Drama', 'History']"
Nightbitch,Nightbitch,tt12810074,98,en,['US'],"A woman, thrown into the stay-at-home routine of raising a toddler in the suburbs, slowly embraces the feral power deeply rooted in motherhood, as she becomes increasingly aware of the bizarre and undeniable signs that she may be turning into a dog.",2024-12-06,https://www.searchlightpictures.com/nightbitch,20000000.0,170737.0,5.8,236,8.8942,Marielle Heller,"Amy Adams, Scoot McNairy, Arleigh Snowden",4 wins & 10 nominations total,13420.0,5.6,5.6,5.9,R,"['Comedy', 'Horror']"
10 Lives,10 Lives,tt7959138,87,en,['GB'],"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey.",2024-04-18,https://gfmanimation.com/films/10-lives/,,16219846.0,7.8,181,9.0065,Christopher Jenkins,"Mo Gilligan, Simone Ashley, Sophie Okonedo",,1838.0,5.9,,6.7,TV-G,"['Animation', 'Comedy', 'Family']"
